BPM_c,PG_c,NG_c,SG_c,PPG_c,PNG_c,MA_c,TR-c,RR,RD,neck,data
125.927535,7.281479059,32.86537458,40.14685364,0.267045,0.2094195,0.111832591,0.287034333,26.51517662,0.82043859,0,0
105.2327881,9.265121726,15.95818248,25.22330421,0.2600175,0.310147,0.140735859,0.336070667,18.78936372,0.987800321,0,0
123.2611194,28.67370364,6.218284488,34.89198813,0.2431515,0.24362,0.131965856,0.326076,27.48246848,1.100042579,0,0
111.2476573,9.556537145,9.576566329,19.13310347,0.2878464,0.2514908,0.163197051,0.153668,20.47782269,1.433747824,0,0
91.93704458,6.254250284,3.970901731,10.22515202,0.253927,0.3986935,0.14724893,0.077458667,19.81254689,1.54493399,0,0
116.3199846,10.23691604,12.86876095,23.10567699,0.25556675,0.26025175,0.125826699,0.245494,25.26998877,1.130299194,0,0
84.85840385,5.68920177,4.181200427,9.870402197,0.2781016,0.4289586,0.121930281,0.13844175,16.0205533,1.295796824,0,0
101.7060857,7.921148037,8.03712536,15.9582734,0.2565506,0.3333846,0.098053654,0.118062,17.73307991,1.093695221,0,0
100.6826282,7.954175771,7.129284588,15.08346036,0.264234,0.331698,0.099428722,0.264234,26.90510569,0.785385393,0,0
119.0225865,9.93539617,9.072975193,19.00837136,0.213636,0.29047,0.093100892,,29.75564663,0.687877788,0,0
89.39155637,5.323040504,5.3788442,10.7018847,0.325451333,0.345753,0.258975381,0.148046,25.789026,1.704135716,0,0
106.4397466,11.76549987,16.46849543,28.23399531,0.2569254,0.3067738,0.151788786,0.236124,19.84324498,1.791268325,0,0
90.95760163,5.172187562,4.707972745,9.880160307,0.316393667,0.343254333,0.215487292,0.0988535,27.30667443,0.614129693,0,0
116.4786749,29.22955464,23.06907241,52.29862705,0.2984345,0.21668125,0.178891303,0.332322667,19.80029423,1.35004919,0,0
92.13546985,5.344185964,4.811085769,10.15527173,0.300152333,0.351062667,0.15042021,0.129306,28.18404558,0.560019475,0,0
103.5313687,18.87938338,7.058516096,25.93789947,0.27664925,0.30288525,0.103350754,0.206764667,19.20640418,0.969658106,0,0
86.27032879,4.489848495,4.869495769,9.359344264,0.344816,0.35067225,0.087505408,0.145235,19.08049808,0.890680257,0,0
122.0860849,13.29881028,14.7545413,28.05335158,0.244557,0.2468995,0.111296753,0.252053,21.19634278,1.001272472,0,0
92.73591824,5.357866845,5.779069477,11.13693632,0.323265,0.3237335,0.173595821,,25.17065705,1.320594633,0,0
87.28755664,5.447607237,4.298126722,9.745733959,0.3155816,0.3718016,0.260752839,0.07941075,16.49089661,1.517533518,0,0
117.9809333,9.547669111,20.35584888,29.90351799,0.25556675,0.25299,0.105376612,0.366054667,27.22540457,0.95393278,0,0
106.6524843,7.179925866,16.14490883,23.32483469,0.2824118,0.280163,0.113099105,0.22792525,19.71494814,1.38524621,0,0
78.28135886,3.136753213,3.666918623,6.803671836,0.379485,0.386981,0.20080653,,27.95030622,1.010990427,0,0
97.11954229,5.730533247,5.869250262,11.59978351,0.313895,0.303900333,0.125848556,0.1016645,22.29601377,0.805543443,0,0
146.8673201,15.38085429,12.63094233,28.01179662,0.2075455,0.2009865,0.09121265,,26.72543888,0.992611921,0,0
76.41306867,3.781820989,2.852321837,6.634142825,0.330761,0.454445,0.147102374,,25.77864394,0.842346454,0,0
112.5380519,22.40504183,10.9244404,33.32948223,0.253927,0.279226,0.162062531,0.342629667,23.24288622,1.318514626,0,0
106.7947824,9.232708677,22.27944318,31.51215185,0.288596,0.2732292,0.107142289,0.25416125,16.67990402,0.950099431,0,0
122.1559549,11.41190407,8.083896756,19.49580083,0.2498042,0.2413712,0.126853894,0.2028605,22.50761039,1.025831073,0,0
98.17424538,7.724582888,7.236309171,14.96089206,0.27383825,0.33732,0.154764446,0.246743333,18.98433191,1.152058933,0,0
84.61731291,4.951729146,3.386150636,8.337879782,0.29913725,0.4099375,0.11937345,0.087453333,15.72547926,0.981179291,0,0
78.66603384,4.257570728,2.804072909,7.061643637,0.332635,0.430083,0.216404909,,28.63781375,0.894016957,0,0
111.5188986,14.99251827,16.14805204,31.14057031,0.3290744,0.208951,0.097275925,0.25978325,20.50405109,1.903168334,0,0
96.76486822,12.32247336,8.138492773,20.46096613,0.269856,0.35020375,0.162928362,0.222470571,11.67867072,2.28923871,0,0
85.3030438,5.964067889,3.994981804,9.959049693,0.26236,0.441014667,0.097283158,0.137739,23.45573317,0.687801654,0,0
80.71531708,8.171810885,5.835232057,14.00704294,0.237373333,0.50598,0.109665014,0.252053,11.31745344,2.658611505,0,0
85.95188127,10.39871528,5.478404269,15.87711955,0.1766245,0.5214405,0.079911295,0.1729702,11.55642511,3.502102148,0,0
99.43191234,13.2384139,6.071692044,19.31010594,0.254864,0.348564,0.125941914,0.210512667,10.35481105,3.714941383,0,0
91.65740068,9.178615175,4.848417941,14.02703312,0.215861375,0.43875025,0.103477787,0.103471571,10.33308884,3.463991985,0,0
84.44594213,7.103848889,4.203793863,11.30764275,0.276816571,0.433697143,0.097758206,0.261735333,10.33308884,3.920325487,0,0
102.7235915,7.954005491,9.07314618,17.02715167,0.273859545,0.310232182,0.119147266,0.1806536,9.071278021,3.637159025,0,0
125.6187377,14.22920665,10.18439892,24.41360557,0.23823225,0.2394035,0.096036161,0.225192333,22.13416922,2.470703465,0,0
74.76258208,4.028184748,2.595255487,6.623440235,0.3349775,0.467563,0.258293333,,27.64859739,1.395217231,0,0
109.9298739,16.05462796,11.27323957,27.32786753,0.253927,0.2918755,0.103320331,0.288863714,11.42650813,3.679975447,0,0
79.3811796,6.489684297,4.308327905,10.7980122,0.245181667,0.510665,0.092404484,0.1774678,11.12863252,2.996614784,0,0
108.8831007,11.13546038,10.75935254,21.89481292,0.2340626,0.3169871,0.102288037,0.198539889,10.54233644,3.806590065,0,0
90.89304691,8.859756139,3.137907405,11.99766354,0.165536667,0.494579833,0.081461169,0.0605302,9.828726254,3.714891379,0,0
99.25577078,6.812378139,6.910028404,13.72240654,0.325272857,0.279226,0.117584426,0.1747505,11.4551255,2.170343984,0,0
95.51633584,6.085013714,4.687874852,10.77288857,0.2811,0.3470648,0.223931918,0.083393,17.82191805,1.72141574,0,0
